[local] 5 -7 75.8464 (best c=32.0, g=0.0078125, rate=75.8464)
[local] -1 -7 62.6953 (best c=32.0, g=0.0078125, rate=75.8464)
[local] 5 -1 84.1797 (best c=32.0, g=0.5, rate=84.1797)
[local] -1 -1 72.526 (best c=32.0, g=0.5, rate=84.1797)
[local] 11 -7 86.7839 (best c=2048.0, g=0.0078125, rate=86.7839)
[local] 11 -1 84.375 (best c=2048.0, g=0.0078125, rate=86.7839)
[local] 5 -13 60.7422 (best c=2048.0, g=0.0078125, rate=86.7839)
[local] -1 -13 46.6146 (best c=2048.0, g=0.0078125, rate=86.7839)
[local] 11 -13 70.3125 (best c=2048.0, g=0.0078125, rate=86.7839)
[local] -3 -7 49.8698 (best c=2048.0, g=0.0078125, rate=86.7839)
[local] -3 -1 48.8281 (best c=2048.0, g=0.0078125, rate=86.7839)
[local] -3 -13 46.1589 (best c=2048.0, g=0.0078125, rate=86.7839)
[local] 5 1 81.5104 (best c=2048.0, g=0.0078125, rate=86.7839)
[local] -1 1 75.1953 (best c=2048.0, g=0.0078125, rate=86.7839)
[local] 11 1 81.7708 (best c=2048.0, g=0.0078125, rate=86.7839)
[local] -3 1 60.026 (best c=2048.0, g=0.0078125, rate=86.7839)
[local] 9 -7 85.0911 (best c=2048.0, g=0.0078125, rate=86.7839)
[local] 9 -1 84.2448 (best c=2048.0, g=0.0078125, rate=86.7839)
[local] 9 -13 65.8854 (best c=2048.0, g=0.0078125, rate=86.7839)
[local] 9 1 81.7708 (best c=2048.0, g=0.0078125, rate=86.7839)
[local] 5 -11 64.0625 (best c=2048.0, g=0.0078125, rate=86.7839)
[local] -1 -11 54.362 (best c=2048.0, g=0.0078125, rate=86.7839)
[local] 11 -11 75.8464 (best c=2048.0, g=0.0078125, rate=86.7839)
[local] -3 -11 47.2005 (best c=2048.0, g=0.0078125, rate=86.7839)
[local] 9 -11 72.5911 (best c=2048.0, g=0.0078125, rate=86.7839)
[local] 3 -7 71.2891 (best c=2048.0, g=0.0078125, rate=86.7839)
[local] 3 -1 83.0729 (best c=2048.0, g=0.0078125, rate=86.7839)
[local] 3 -13 60.0911 (best c=2048.0, g=0.0078125, rate=86.7839)
[local] 3 1 81.3151 (best c=2048.0, g=0.0078125, rate=86.7839)
[local] 3 -11 61.0677 (best c=2048.0, g=0.0078125, rate=86.7839)
[local] 5 -5 80.5339 (best c=2048.0, g=0.0078125, rate=86.7839)
[local] -1 -5 67.3828 (best c=2048.0, g=0.0078125, rate=86.7839)
[local] 11 -5 87.8255 (best c=2048.0, g=0.03125, rate=87.8255)
[local] -3 -5 57.487 (best c=2048.0, g=0.03125, rate=87.8255)
[local] 9 -5 87.6302 (best c=2048.0, g=0.03125, rate=87.8255)
[local] 3 -5 76.6276 (best c=2048.0, g=0.03125, rate=87.8255)
[local] 15 -7 86.849 (best c=2048.0, g=0.03125, rate=87.8255)
[local] 15 -1 84.3099 (best c=2048.0, g=0.03125, rate=87.8255)
[local] 15 -13 80.4688 (best c=2048.0, g=0.03125, rate=87.8255)
[local] 15 1 81.7708 (best c=2048.0, g=0.03125, rate=87.8255)
[local] 15 -11 82.6823 (best c=2048.0, g=0.03125, rate=87.8255)
[local] 15 -5 88.0208 (best c=32768.0, g=0.03125, rate=88.0208)
[local] 5 -15 60.026 (best c=32768.0, g=0.03125, rate=88.0208)
[local] -1 -15 45.7031 (best c=32768.0, g=0.03125, rate=88.0208)
[local] 11 -15 65.1693 (best c=32768.0, g=0.03125, rate=88.0208)
[local] -3 -15 45.7031 (best c=32768.0, g=0.03125, rate=88.0208)
[local] 9 -15 63.0859 (best c=32768.0, g=0.03125, rate=88.0208)
[local] 3 -15 54.7526 (best c=32768.0, g=0.03125, rate=88.0208)
[local] 15 -15 74.2839 (best c=32768.0, g=0.03125, rate=88.0208)
[local] -5 -7 50.0651 (best c=32768.0, g=0.03125, rate=88.0208)
[local] -5 -1 44.7266 (best c=32768.0, g=0.03125, rate=88.0208)
[local] -5 -13 46.1589 (best c=32768.0, g=0.03125, rate=88.0208)
[local] -5 1 56.3802 (best c=32768.0, g=0.03125, rate=88.0208)
[local] -5 -11 47.2005 (best c=32768.0, g=0.03125, rate=88.0208)
[local] -5 -5 52.4089 (best c=32768.0, g=0.03125, rate=88.0208)
[local] -5 -15 45.7031 (best c=32768.0, g=0.03125, rate=88.0208)
[local] 5 3 79.9479 (best c=32768.0, g=0.03125, rate=88.0208)
[local] -1 3 77.5391 (best c=32768.0, g=0.03125, rate=88.0208)
[local] 11 3 79.9479 (best c=32768.0, g=0.03125, rate=88.0208)
[local] -3 3 65.625 (best c=32768.0, g=0.03125, rate=88.0208)
