[local] 5 -7 75.7161 (best c=32.0, g=0.0078125, rate=75.7161)
[local] -1 -7 63.3464 (best c=32.0, g=0.0078125, rate=75.7161)
[local] 5 -1 83.5286 (best c=32.0, g=0.5, rate=83.5286)
[local] -1 -1 72.7214 (best c=32.0, g=0.5, rate=83.5286)
[local] 11 -7 86.1328 (best c=2048.0, g=0.0078125, rate=86.1328)
[local] 11 -1 83.2031 (best c=2048.0, g=0.0078125, rate=86.1328)
[local] 5 -13 63.2161 (best c=2048.0, g=0.0078125, rate=86.1328)
[local] -1 -13 45.0521 (best c=2048.0, g=0.0078125, rate=86.1328)
[local] 11 -13 70.5729 (best c=2048.0, g=0.0078125, rate=86.1328)
[local] -3 -7 58.0078 (best c=2048.0, g=0.0078125, rate=86.1328)
[local] -3 -1 51.6927 (best c=2048.0, g=0.0078125, rate=86.1328)
[local] -3 -13 44.7266 (best c=2048.0, g=0.0078125, rate=86.1328)
[local] 5 1 81.25 (best c=2048.0, g=0.0078125, rate=86.1328)
[local] -1 1 74.6745 (best c=2048.0, g=0.0078125, rate=86.1328)
[local] 11 1 81.3151 (best c=2048.0, g=0.0078125, rate=86.1328)
[local] -3 1 59.4401 (best c=2048.0, g=0.0078125, rate=86.1328)
[local] 9 -7 85.2214 (best c=2048.0, g=0.0078125, rate=86.1328)
[local] 9 -1 83.2031 (best c=2048.0, g=0.0078125, rate=86.1328)
[local] 9 -13 66.6667 (best c=2048.0, g=0.0078125, rate=86.1328)
[local] 9 1 81.3151 (best c=2048.0, g=0.0078125, rate=86.1328)
[local] 5 -11 64.9089 (best c=2048.0, g=0.0078125, rate=86.1328)
[local] -1 -11 55.6641 (best c=2048.0, g=0.0078125, rate=86.1328)
[local] 11 -11 75.0 (best c=2048.0, g=0.0078125, rate=86.1328)
[local] -3 -11 45.638 (best c=2048.0, g=0.0078125, rate=86.1328)
[local] 9 -11 72.1354 (best c=2048.0, g=0.0078125, rate=86.1328)
[local] 3 -7 71.1589 (best c=2048.0, g=0.0078125, rate=86.1328)
[local] 3 -1 82.0312 (best c=2048.0, g=0.0078125, rate=86.1328)
[local] 3 -13 61.0677 (best c=2048.0, g=0.0078125, rate=86.1328)
[local] 3 1 81.0547 (best c=2048.0, g=0.0078125, rate=86.1328)
[local] 3 -11 63.5417 (best c=2048.0, g=0.0078125, rate=86.1328)
[local] 5 -5 81.3151 (best c=2048.0, g=0.0078125, rate=86.1328)
[local] -1 -5 67.7734 (best c=2048.0, g=0.0078125, rate=86.1328)
[local] 11 -5 86.9792 (best c=2048.0, g=0.03125, rate=86.9792)
[local] -3 -5 55.7292 (best c=2048.0, g=0.03125, rate=86.9792)
[local] 9 -5 86.7839 (best c=2048.0, g=0.03125, rate=86.9792)
[local] 3 -5 75.9766 (best c=2048.0, g=0.03125, rate=86.9792)
[local] 15 -7 86.5234 (best c=2048.0, g=0.03125, rate=86.9792)
[local] 15 -1 83.2031 (best c=2048.0, g=0.03125, rate=86.9792)
[local] 15 -13 80.9245 (best c=2048.0, g=0.03125, rate=86.9792)
[local] 15 1 81.3151 (best c=2048.0, g=0.03125, rate=86.9792)
[local] 15 -11 82.5521 (best c=2048.0, g=0.03125, rate=86.9792)
[local] 15 -5 86.9792 (best c=2048.0, g=0.03125, rate=86.9792)
[local] 5 -15 61.4583 (best c=2048.0, g=0.03125, rate=86.9792)
[local] -1 -15 44.3359 (best c=2048.0, g=0.03125, rate=86.9792)
[local] 11 -15 65.4297 (best c=2048.0, g=0.03125, rate=86.9792)
[local] -3 -15 44.3359 (best c=2048.0, g=0.03125, rate=86.9792)
[local] 9 -15 63.9323 (best c=2048.0, g=0.03125, rate=86.9792)
[local] 3 -15 56.5104 (best c=2048.0, g=0.03125, rate=86.9792)
[local] 15 -15 73.9583 (best c=2048.0, g=0.03125, rate=86.9792)
[local] -5 -7 53.776 (best c=2048.0, g=0.03125, rate=86.9792)
[local] -5 -1 48.2422 (best c=2048.0, g=0.03125, rate=86.9792)
[local] -5 -13 44.7266 (best c=2048.0, g=0.03125, rate=86.9792)
[local] -5 1 55.4688 (best c=2048.0, g=0.03125, rate=86.9792)
[local] -5 -11 45.8333 (best c=2048.0, g=0.03125, rate=86.9792)
[local] -5 -5 50.0 (best c=2048.0, g=0.03125, rate=86.9792)
[local] -5 -15 44.3359 (best c=2048.0, g=0.03125, rate=86.9792)
[local] 5 3 79.362 (best c=2048.0, g=0.03125, rate=86.9792)
[local] -1 3 77.0833 (best c=2048.0, g=0.03125, rate=86.9792)
[local] 11 3 79.362 (best c=2048.0, g=0.03125, rate=86.9792)
[local] -3 3 65.4297 (best c=2048.0, g=0.03125, rate=86.9792)
[local] 9 3 79.362 (best c=2048.0, g=0.03125, rate=86.9792)
[local] 3 3 79.362 (best c=2048.0, g=0.03125, rate=86.9792)
[local] 15 3 79.362 (best c=2048.0, g=0.03125, rate=86.9792)
[local] -5 3 60.6771 (best c=2048.0, g=0.03125, rate=86.9792)
[local] 7 -7 80.9896 (best c=2048.0, g=0.03125, rate=86.9792)
[local] 7 -1 83.0078 (best c=2048.0, g=0.03125, rate=86.9792)
[local] 7 -13 64.2578 (best c=2048.0, g=0.03125, rate=86.9792)
[local] 7 1 81.3151 (best c=2048.0, g=0.03125, rate=86.9792)
[local] 7 -11 68.2943 (best c=2048.0, g=0.03125, rate=86.9792)
[local] 7 -5 85.3516 (best c=2048.0, g=0.03125, rate=86.9792)
[local] 7 -15 63.151 (best c=2048.0, g=0.03125, rate=86.9792)
[local] 7 3 79.362 (best c=2048.0, g=0.03125, rate=86.9792)
[local] 5 -9 70.0521 (best c=2048.0, g=0.03125, rate=86.9792)
[local] -1 -9 60.8073 (best c=2048.0, g=0.03125, rate=86.9792)
[local] 11 -9 82.8776 (best c=2048.0, g=0.03125, rate=86.9792)
[local] -3 -9 51.1719 (best c=2048.0, g=0.03125, rate=86.9792)
[local] 9 -9 78.776 (best c=2048.0, g=0.03125, rate=86.9792)
[local] 3 -9 66.4062 (best c=2048.0, g=0.03125, rate=86.9792)
[local] 15 -9 83.3984 (best c=2048.0, g=0.03125, rate=86.9792)
[local] -5 -9 47.7214 (best c=2048.0, g=0.03125, rate=86.9792)
[local] 7 -9 74.5443 (best c=2048.0, g=0.03125, rate=86.9792)
[local] 1 -7 66.4714 (best c=2048.0, g=0.03125, rate=86.9792)
[local] 1 -1 78.5156 (best c=2048.0, g=0.03125, rate=86.9792)
[local] 1 -13 56.3802 (best c=2048.0, g=0.03125, rate=86.9792)
[local] 1 1 79.9479 (best c=2048.0, g=0.03125, rate=86.9792)
[local] 1 -11 60.7422 (best c=2048.0, g=0.03125, rate=86.9792)
[local] 1 -5 71.875 (best c=2048.0, g=0.03125, rate=86.9792)
[local] 1 -15 44.7917 (best c=2048.0, g=0.03125, rate=86.9792)
[local] 1 3 79.4922 (best c=2048.0, g=0.03125, rate=86.9792)
[local] 1 -9 63.8672 (best c=2048.0, g=0.03125, rate=86.9792)
[local] 5 -3 85.1562 (best c=2048.0, g=0.03125, rate=86.9792)
[local] -1 -3 71.8099 (best c=2048.0, g=0.03125, rate=86.9792)
[local] 11 -3 86.1979 (best c=2048.0, g=0.03125, rate=86.9792)
[local] -3 -3 51.7578 (best c=2048.0, g=0.03125, rate=86.9792)
[local] 9 -3 86.1979 (best c=2048.0, g=0.03125, rate=86.9792)
[local] 3 -3 81.1198 (best c=2048.0, g=0.03125, rate=86.9792)
[local] 15 -3 86.1979 (best c=2048.0, g=0.03125, rate=86.9792)
[local] -5 -3 49.0885 (best c=2048.0, g=0.03125, rate=86.9792)
[local] 7 -3 86.1328 (best c=2048.0, g=0.03125, rate=86.9792)
[local] 1 -3 75.5859 (best c=2048.0, g=0.03125, rate=86.9792)
[local] 13 -7 86.4583 (best c=2048.0, g=0.03125, rate=86.9792)
[local] 13 -1 83.2031 (best c=2048.0, g=0.03125, rate=86.9792)
[local] 13 -13 73.9583 (best c=2048.0, g=0.03125, rate=86.9792)
[local] 13 1 81.3151 (best c=2048.0, g=0.03125, rate=86.9792)
[local] 13 -11 81.8359 (best c=2048.0, g=0.03125, rate=86.9792)
[local] 13 -5 86.9792 (best c=2048.0, g=0.03125, rate=86.9792)
[local] 13 -15 69.0755 (best c=2048.0, g=0.03125, rate=86.9792)
[local] 13 3 79.362 (best c=2048.0, g=0.03125, rate=86.9792)
[local] 13 -9 83.6589 (best c=2048.0, g=0.03125, rate=86.9792)
[local] 13 -3 86.1979 (best c=2048.0, g=0.03125, rate=86.9792)
2048.0 0.03125 86.9792
