[local] 5 -7 74.8698 (best c=32.0, g=0.0078125, rate=74.8698)
[local] -1 -7 59.0495 (best c=32.0, g=0.0078125, rate=74.8698)
[local] 5 -1 83.2682 (best c=32.0, g=0.5, rate=83.2682)
[local] -1 -1 70.5729 (best c=32.0, g=0.5, rate=83.2682)
[local] 11 -7 85.3516 (best c=2048.0, g=0.0078125, rate=85.3516)
[local] 11 -1 84.1146 (best c=2048.0, g=0.0078125, rate=85.3516)
[local] 5 -13 57.5521 (best c=2048.0, g=0.0078125, rate=85.3516)
[local] -1 -13 41.9271 (best c=2048.0, g=0.0078125, rate=85.3516)
[local] 11 -13 69.3359 (best c=2048.0, g=0.0078125, rate=85.3516)
[local] -3 -7 51.237 (best c=2048.0, g=0.0078125, rate=85.3516)
[local] -3 -1 54.1016 (best c=2048.0, g=0.0078125, rate=85.3516)
[local] -3 -13 41.0807 (best c=2048.0, g=0.0078125, rate=85.3516)
[local] 5 1 81.7057 (best c=2048.0, g=0.0078125, rate=85.3516)
[local] -1 1 73.9583 (best c=2048.0, g=0.0078125, rate=85.3516)
[local] 11 1 81.9661 (best c=2048.0, g=0.0078125, rate=85.3516)
[local] -3 1 56.1849 (best c=2048.0, g=0.0078125, rate=85.3516)
[local] 9 -7 83.5938 (best c=2048.0, g=0.0078125, rate=85.3516)
[local] 9 -1 84.2448 (best c=2048.0, g=0.0078125, rate=85.3516)
[local] 9 -13 66.9271 (best c=2048.0, g=0.0078125, rate=85.3516)
[local] 9 1 81.9661 (best c=2048.0, g=0.0078125, rate=85.3516)
[local] 5 -11 63.8672 (best c=2048.0, g=0.0078125, rate=85.3516)
[local] -1 -11 51.237 (best c=2048.0, g=0.0078125, rate=85.3516)
[local] 11 -11 74.4792 (best c=2048.0, g=0.0078125, rate=85.3516)
[local] -3 -11 46.9401 (best c=2048.0, g=0.0078125, rate=85.3516)
[local] 9 -11 72.3307 (best c=2048.0, g=0.0078125, rate=85.3516)
[local] 3 -7 71.0938 (best c=2048.0, g=0.0078125, rate=85.3516)
[local] 3 -1 81.9661 (best c=2048.0, g=0.0078125, rate=85.3516)
[local] 3 -13 54.8177 (best c=2048.0, g=0.0078125, rate=85.3516)
[local] 3 1 81.1198 (best c=2048.0, g=0.0078125, rate=85.3516)
[local] 3 -11 57.8776 (best c=2048.0, g=0.0078125, rate=85.3516)
[local] 5 -5 79.4922 (best c=2048.0, g=0.0078125, rate=85.3516)
[local] -1 -5 65.8854 (best c=2048.0, g=0.0078125, rate=85.3516)
[local] 11 -5 87.1094 (best c=2048.0, g=0.03125, rate=87.1094)
[local] -3 -5 55.0781 (best c=2048.0, g=0.03125, rate=87.1094)
[local] 9 -5 86.3281 (best c=2048.0, g=0.03125, rate=87.1094)
[local] 3 -5 74.7396 (best c=2048.0, g=0.03125, rate=87.1094)
[local] 15 -7 86.1979 (best c=2048.0, g=0.03125, rate=87.1094)
[local] 15 -1 84.2448 (best c=2048.0, g=0.03125, rate=87.1094)
[local] 15 -13 76.4323 (best c=2048.0, g=0.03125, rate=87.1094)
[local] 15 1 82.1615 (best c=2048.0, g=0.03125, rate=87.1094)
[local] 15 -11 81.1849 (best c=2048.0, g=0.03125, rate=87.1094)
[local] 15 -5 87.3047 (best c=32768.0, g=0.03125, rate=87.3047)
[local] 5 -15 54.4922 (best c=32768.0, g=0.03125, rate=87.3047)
[local] -1 -15 39.974 (best c=32768.0, g=0.03125, rate=87.3047)
[local] 11 -15 66.0156 (best c=32768.0, g=0.03125, rate=87.3047)
[local] -3 -15 39.974 (best c=32768.0, g=0.03125, rate=87.3047)
[local] 9 -15 62.0443 (best c=32768.0, g=0.03125, rate=87.3047)
[local] 3 -15 51.1719 (best c=32768.0, g=0.03125, rate=87.3047)
[local] 15 -15 71.4193 (best c=32768.0, g=0.03125, rate=87.3047)
[local] -5 -7 48.6979 (best c=32768.0, g=0.03125, rate=87.3047)
[local] -5 -1 51.1068 (best c=32768.0, g=0.03125, rate=87.3047)
[local] -5 -13 41.0807 (best c=32768.0, g=0.03125, rate=87.3047)
[local] -5 1 53.1901 (best c=32768.0, g=0.03125, rate=87.3047)
[local] -5 -11 46.7448 (best c=32768.0, g=0.03125, rate=87.3047)
[local] -5 -5 49.0234 (best c=32768.0, g=0.03125, rate=87.3047)
[local] -5 -15 39.974 (best c=32768.0, g=0.03125, rate=87.3047)
[local] 5 3 80.3385 (best c=32768.0, g=0.03125, rate=87.3047)
[local] -1 3 76.6927 (best c=32768.0, g=0.03125, rate=87.3047)
[local] 11 3 80.1432 (best c=32768.0, g=0.03125, rate=87.3047)
[local] -3 3 63.8672 (best c=32768.0, g=0.03125, rate=87.3047)
[local] 9 3 80.1432 (best c=32768.0, g=0.03125, rate=87.3047)
[local] 3 3 80.1432 (best c=32768.0, g=0.03125, rate=87.3047)
[local] 15 3 80.5339 (best c=32768.0, g=0.03125, rate=87.3047)
[local] -5 3 60.4818 (best c=32768.0, g=0.03125, rate=87.3047)
[local] 7 -7 79.1667 (best c=32768.0, g=0.03125, rate=87.3047)
[local] 7 -1 84.1146 (best c=32768.0, g=0.03125, rate=87.3047)
[local] 7 -13 61.9792 (best c=32768.0, g=0.03125, rate=87.3047)
[local] 7 1 81.9661 (best c=32768.0, g=0.03125, rate=87.3047)
[local] 7 -11 67.8385 (best c=32768.0, g=0.03125, rate=87.3047)
[local] 7 -5 84.4401 (best c=32768.0, g=0.03125, rate=87.3047)
[local] 7 -15 57.487 (best c=32768.0, g=0.03125, rate=87.3047)
[local] 7 3 80.1432 (best c=32768.0, g=0.03125, rate=87.3047)
[local] 5 -9 70.1172 (best c=32768.0, g=0.03125, rate=87.3047)
[local] -1 -9 55.8594 (best c=32768.0, g=0.03125, rate=87.3047)
[local] 11 -9 80.6641 (best c=32768.0, g=0.03125, rate=87.3047)
[local] -3 -9 49.2839 (best c=32768.0, g=0.03125, rate=87.3047)
[local] 9 -9 76.237 (best c=32768.0, g=0.03125, rate=87.3047)
[local] 3 -9 64.6484 (best c=32768.0, g=0.03125, rate=87.3047)
[local] 15 -9 84.1146 (best c=32768.0, g=0.03125, rate=87.3047)
[local] -5 -9 45.7682 (best c=32768.0, g=0.03125, rate=87.3047)
[local] 7 -9 74.2188 (best c=32768.0, g=0.03125, rate=87.3047)
[local] 1 -7 65.0391 (best c=32768.0, g=0.03125, rate=87.3047)
[local] 1 -1 77.6042 (best c=32768.0, g=0.03125, rate=87.3047)
[local] 1 -13 51.1068 (best c=32768.0, g=0.03125, rate=87.3047)
[local] 1 1 79.362 (best c=32768.0, g=0.03125, rate=87.3047)
[local] 1 -11 55.6641 (best c=32768.0, g=0.03125, rate=87.3047)
[local] 1 -5 71.4844 (best c=32768.0, g=0.03125, rate=87.3047)
[local] 1 -15 40.8203 (best c=32768.0, g=0.03125, rate=87.3047)
[local] 1 3 79.6224 (best c=32768.0, g=0.03125, rate=87.3047)
[local] 1 -9 58.8542 (best c=32768.0, g=0.03125, rate=87.3047)
[local] 5 -3 84.1146 (best c=32768.0, g=0.03125, rate=87.3047)
[local] -1 -3 70.3776 (best c=32768.0, g=0.03125, rate=87.3047)
[local] 11 -3 86.4583 (best c=32768.0, g=0.03125, rate=87.3047)
[local] -3 -3 57.2266 (best c=32768.0, g=0.03125, rate=87.3047)
[local] 9 -3 86.263 (best c=32768.0, g=0.03125, rate=87.3047)
[local] 3 -3 79.4922 (best c=32768.0, g=0.03125, rate=87.3047)
[local] 15 -3 86.5234 (best c=32768.0, g=0.03125, rate=87.3047)
[local] -5 -3 54.4271 (best c=32768.0, g=0.03125, rate=87.3047)
[local] 7 -3 85.8073 (best c=32768.0, g=0.03125, rate=87.3047)
[local] 1 -3 73.9583 (best c=32768.0, g=0.03125, rate=87.3047)
[local] 13 -7 86.1979 (best c=32768.0, g=0.03125, rate=87.3047)
[local] 13 -1 84.2448 (best c=32768.0, g=0.03125, rate=87.3047)
[local] 13 -13 73.5677 (best c=32768.0, g=0.03125, rate=87.3047)
[local] 13 1 81.9661 (best c=32768.0, g=0.03125, rate=87.3047)
[local] 13 -11 78.6458 (best c=32768.0, g=0.03125, rate=87.3047)
[local] 13 -5 87.2396 (best c=32768.0, g=0.03125, rate=87.3047)
[local] 13 -15 68.099 (best c=32768.0, g=0.03125, rate=87.3047)
[local] 13 3 80.4036 (best c=32768.0, g=0.03125, rate=87.3047)
[local] 13 -9 83.5938 (best c=32768.0, g=0.03125, rate=87.3047)
[local] 13 -3 86.5234 (best c=32768.0, g=0.03125, rate=87.3047)
32768.0 0.03125 87.3047
