[local] 5 -7 74.5443 (best c=32.0, g=0.0078125, rate=74.5443)
[local] -1 -7 58.724 (best c=32.0, g=0.0078125, rate=74.5443)
[local] 5 -1 82.7474 (best c=32.0, g=0.5, rate=82.7474)
[local] -1 -1 71.4193 (best c=32.0, g=0.5, rate=82.7474)
[local] 11 -7 85.612 (best c=2048.0, g=0.0078125, rate=85.612)
[local] 11 -1 84.0495 (best c=2048.0, g=0.0078125, rate=85.612)
[local] 5 -13 56.5755 (best c=2048.0, g=0.0078125, rate=85.612)
[local] -1 -13 42.3828 (best c=2048.0, g=0.0078125, rate=85.612)
[local] 11 -13 68.5547 (best c=2048.0, g=0.0078125, rate=85.612)
[local] -3 -7 51.0417 (best c=2048.0, g=0.0078125, rate=85.612)
[local] -3 -1 56.901 (best c=2048.0, g=0.0078125, rate=85.612)
[local] -3 -13 42.0573 (best c=2048.0, g=0.0078125, rate=85.612)
[local] 5 1 80.9896 (best c=2048.0, g=0.0078125, rate=85.612)
[local] -1 1 73.4375 (best c=2048.0, g=0.0078125, rate=85.612)
[local] 11 1 80.9245 (best c=2048.0, g=0.0078125, rate=85.612)
[local] -3 1 60.4167 (best c=2048.0, g=0.0078125, rate=85.612)
[local] 9 -7 83.3984 (best c=2048.0, g=0.0078125, rate=85.612)
[local] 9 -1 83.8542 (best c=2048.0, g=0.0078125, rate=85.612)
[local] 9 -13 62.8255 (best c=2048.0, g=0.0078125, rate=85.612)
[local] 9 1 80.9245 (best c=2048.0, g=0.0078125, rate=85.612)
[local] 5 -11 61.4583 (best c=2048.0, g=0.0078125, rate=85.612)
[local] -1 -11 49.349 (best c=2048.0, g=0.0078125, rate=85.612)
[local] 11 -11 74.0885 (best c=2048.0, g=0.0078125, rate=85.612)
[local] -3 -11 42.513 (best c=2048.0, g=0.0078125, rate=85.612)
[local] 9 -11 71.5495 (best c=2048.0, g=0.0078125, rate=85.612)
[local] 3 -7 70.5729 (best c=2048.0, g=0.0078125, rate=85.612)
[local] 3 -1 80.9896 (best c=2048.0, g=0.0078125, rate=85.612)
[local] 3 -13 54.6224 (best c=2048.0, g=0.0078125, rate=85.612)
[local] 3 1 79.9479 (best c=2048.0, g=0.0078125, rate=85.612)
