[local] 5 -7 76.6276 (best c=32.0, g=0.0078125, rate=76.6276)
[local] -1 -7 58.138 (best c=32.0, g=0.0078125, rate=76.6276)
[local] 5 -1 83.4635 (best c=32.0, g=0.5, rate=83.4635)
[local] -1 -1 74.6745 (best c=32.0, g=0.5, rate=83.4635)
[local] 11 -7 84.0495 (best c=2048.0, g=0.0078125, rate=84.0495)
[local] 11 -1 84.1797 (best c=2048.0, g=0.5, rate=84.1797)
[local] 5 -13 56.25 (best c=2048.0, g=0.5, rate=84.1797)
[local] -1 -13 37.1094 (best c=2048.0, g=0.5, rate=84.1797)
[local] 11 -13 69.0104 (best c=2048.0, g=0.5, rate=84.1797)
[local] -3 -7 53.0599 (best c=2048.0, g=0.5, rate=84.1797)
[local] -3 -1 50.0 (best c=2048.0, g=0.5, rate=84.1797)
[local] -3 -13 36.9792 (best c=2048.0, g=0.5, rate=84.1797)
[local] 5 1 81.1198 (best c=2048.0, g=0.5, rate=84.1797)
[local] -1 1 75.8464 (best c=2048.0, g=0.5, rate=84.1797)
[local] 11 1 81.25 (best c=2048.0, g=0.5, rate=84.1797)
[local] -3 1 48.8281 (best c=2048.0, g=0.5, rate=84.1797)
[local] 9 -7 82.9427 (best c=2048.0, g=0.5, rate=84.1797)
[local] 9 -1 84.1146 (best c=2048.0, g=0.5, rate=84.1797)
[local] 9 -13 63.6068 (best c=2048.0, g=0.5, rate=84.1797)
[local] 9 1 81.25 (best c=2048.0, g=0.5, rate=84.1797)
[local] 5 -11 60.8073 (best c=2048.0, g=0.5, rate=84.1797)
[local] -1 -11 49.6094 (best c=2048.0, g=0.5, rate=84.1797)
[local] 11 -11 75.9766 (best c=2048.0, g=0.5, rate=84.1797)
[local] -3 -11 42.1224 (best c=2048.0, g=0.5, rate=84.1797)
[local] 9 -11 72.8516 (best c=2048.0, g=0.5, rate=84.1797)
[local] 3 -7 72.0052 (best c=2048.0, g=0.5, rate=84.1797)
[local] 3 -1 81.9661 (best c=2048.0, g=0.5, rate=84.1797)
[local] 3 -13 52.3438 (best c=2048.0, g=0.5, rate=84.1797)
[local] 3 1 80.4688 (best c=2048.0, g=0.5, rate=84.1797)
[local] 3 -11 56.5104 (best c=2048.0, g=0.5, rate=84.1797)
[local] 5 -5 80.7943 (best c=2048.0, g=0.5, rate=84.1797)
[local] -1 -5 65.2995 (best c=2048.0, g=0.5, rate=84.1797)
[local] 11 -5 86.5234 (best c=2048.0, g=0.03125, rate=86.5234)
[local] -3 -5 58.3984 (best c=2048.0, g=0.03125, rate=86.5234)
[local] 9 -5 85.9375 (best c=2048.0, g=0.03125, rate=86.5234)
[local] 3 -5 78.0599 (best c=2048.0, g=0.03125, rate=86.5234)
[local] 15 -7 84.5052 (best c=2048.0, g=0.03125, rate=86.5234)
[local] 15 -1 84.1797 (best c=2048.0, g=0.03125, rate=86.5234)
[local] 15 -13 76.7578 (best c=2048.0, g=0.03125, rate=86.5234)
[local] 15 1 81.25 (best c=2048.0, g=0.03125, rate=86.5234)
[local] 15 -11 80.9896 (best c=2048.0, g=0.03125, rate=86.5234)
[local] 15 -5 86.4583 (best c=2048.0, g=0.03125, rate=86.5234)
[local] 5 -15 52.0833 (best c=2048.0, g=0.03125, rate=86.5234)
[local] -1 -15 34.7656 (best c=2048.0, g=0.03125, rate=86.5234)
[local] 11 -15 62.8906 (best c=2048.0, g=0.03125, rate=86.5234)
[local] -3 -15 34.7656 (best c=2048.0, g=0.03125, rate=86.5234)
[local] 9 -15 58.5938 (best c=2048.0, g=0.03125, rate=86.5234)
[local] 3 -15 48.3073 (best c=2048.0, g=0.03125, rate=86.5234)
[local] 15 -15 70.638 (best c=2048.0, g=0.03125, rate=86.5234)
[local] -5 -7 45.9635 (best c=2048.0, g=0.03125, rate=86.5234)
[local] -5 -1 46.3542 (best c=2048.0, g=0.03125, rate=86.5234)
[local] -5 -13 36.9792 (best c=2048.0, g=0.03125, rate=86.5234)
[local] -5 1 46.6146 (best c=2048.0, g=0.03125, rate=86.5234)
[local] -5 -11 42.0573 (best c=2048.0, g=0.03125, rate=86.5234)
[local] -5 -5 41.4062 (best c=2048.0, g=0.03125, rate=86.5234)
[local] -5 -15 34.7656 (best c=2048.0, g=0.03125, rate=86.5234)
[local] 5 3 81.3802 (best c=2048.0, g=0.03125, rate=86.5234)
[local] -1 3 77.474 (best c=2048.0, g=0.03125, rate=86.5234)
[local] 11 3 81.3802 (best c=2048.0, g=0.03125, rate=86.5234)
[local] -3 3 65.4948 (best c=2048.0, g=0.03125, rate=86.5234)
[local] 9 3 81.3802 (best c=2048.0, g=0.03125, rate=86.5234)
[local] 3 3 81.25 (best c=2048.0, g=0.03125, rate=86.5234)
[local] 15 3 81.3802 (best c=2048.0, g=0.03125, rate=86.5234)
[local] -5 3 61.4583 (best c=2048.0, g=0.03125, rate=86.5234)
[local] 7 -7 79.1016 (best c=2048.0, g=0.03125, rate=86.5234)
[local] 7 -1 84.1146 (best c=2048.0, g=0.03125, rate=86.5234)
[local] 7 -13 58.9844 (best c=2048.0, g=0.03125, rate=86.5234)
[local] 7 1 81.25 (best c=2048.0, g=0.03125, rate=86.5234)
[local] 7 -11 66.3411 (best c=2048.0, g=0.03125, rate=86.5234)
[local] 7 -5 83.9193 (best c=2048.0, g=0.03125, rate=86.5234)
