[local] 5 -7 76.9531 (best c=32.0, g=0.0078125, rate=76.9531)
[local] -1 -7 58.8542 (best c=32.0, g=0.0078125, rate=76.9531)
[local] 5 -1 83.9193 (best c=32.0, g=0.5, rate=83.9193)
[local] -1 -1 74.0885 (best c=32.0, g=0.5, rate=83.9193)
[local] 11 -7 86.263 (best c=2048.0, g=0.0078125, rate=86.263)
[local] 11 -1 84.6354 (best c=2048.0, g=0.0078125, rate=86.263)
[local] 5 -13 58.2682 (best c=2048.0, g=0.0078125, rate=86.263)
[local] -1 -13 44.3359 (best c=2048.0, g=0.0078125, rate=86.263)
[local] 11 -13 70.7031 (best c=2048.0, g=0.0078125, rate=86.263)
[local] -3 -7 52.9297 (best c=2048.0, g=0.0078125, rate=86.263)
[local] -3 -1 58.5286 (best c=2048.0, g=0.0078125, rate=86.263)
[local] -3 -13 44.3359 (best c=2048.0, g=0.0078125, rate=86.263)
[local] 5 1 82.2266 (best c=2048.0, g=0.0078125, rate=86.263)
[local] -1 1 75.2604 (best c=2048.0, g=0.0078125, rate=86.263)
[local] 11 1 82.5521 (best c=2048.0, g=0.0078125, rate=86.263)
[local] -3 1 59.8958 (best c=2048.0, g=0.0078125, rate=86.263)
[local] 9 -7 83.6589 (best c=2048.0, g=0.0078125, rate=86.263)
[local] 9 -1 84.7005 (best c=2048.0, g=0.0078125, rate=86.263)
[local] 9 -13 65.7552 (best c=2048.0, g=0.0078125, rate=86.263)
[local] 9 1 82.5521 (best c=2048.0, g=0.0078125, rate=86.263)
[local] 5 -11 62.1745 (best c=2048.0, g=0.0078125, rate=86.263)
[local] -1 -11 51.6276 (best c=2048.0, g=0.0078125, rate=86.263)
[local] 11 -11 75.5859 (best c=2048.0, g=0.0078125, rate=86.263)
[local] -3 -11 44.3359 (best c=2048.0, g=0.0078125, rate=86.263)
[local] 9 -11 73.5026 (best c=2048.0, g=0.0078125, rate=86.263)
[local] 3 -7 73.3724 (best c=2048.0, g=0.0078125, rate=86.263)
[local] 3 -1 82.2266 (best c=2048.0, g=0.0078125, rate=86.263)
[local] 3 -13 54.6875 (best c=2048.0, g=0.0078125, rate=86.263)
[local] 3 1 81.7708 (best c=2048.0, g=0.0078125, rate=86.263)
[local] 3 -11 58.5286 (best c=2048.0, g=0.0078125, rate=86.263)
[local] 5 -5 80.3385 (best c=2048.0, g=0.0078125, rate=86.263)
[local] -1 -5 66.7969 (best c=2048.0, g=0.0078125, rate=86.263)
[local] 11 -5 86.9792 (best c=2048.0, g=0.03125, rate=86.9792)
[local] -3 -5 57.0964 (best c=2048.0, g=0.03125, rate=86.9792)
[local] 9 -5 86.1328 (best c=2048.0, g=0.03125, rate=86.9792)
[local] 3 -5 77.6693 (best c=2048.0, g=0.03125, rate=86.9792)
[local] 15 -7 86.4583 (best c=2048.0, g=0.03125, rate=86.9792)
[local] 15 -1 84.6354 (best c=2048.0, g=0.03125, rate=86.9792)
[local] 15 -13 77.9948 (best c=2048.0, g=0.03125, rate=86.9792)
[local] 15 1 82.5521 (best c=2048.0, g=0.03125, rate=86.9792)
[local] 15 -11 82.2917 (best c=2048.0, g=0.03125, rate=86.9792)
[local] 15 -5 86.9141 (best c=2048.0, g=0.03125, rate=86.9792)
[local] 5 -15 54.8177 (best c=2048.0, g=0.03125, rate=86.9792)
[local] -1 -15 43.1641 (best c=2048.0, g=0.03125, rate=86.9792)
[local] 11 -15 64.5833 (best c=2048.0, g=0.03125, rate=86.9792)
[local] -3 -15 43.1641 (best c=2048.0, g=0.03125, rate=86.9792)
[local] 9 -15 60.7422 (best c=2048.0, g=0.03125, rate=86.9792)
[local] 3 -15 52.7995 (best c=2048.0, g=0.03125, rate=86.9792)
[local] 15 -15 71.224 (best c=2048.0, g=0.03125, rate=86.9792)
[local] -5 -7 49.0234 (best c=2048.0, g=0.03125, rate=86.9792)
[local] -5 -1 53.9062 (best c=2048.0, g=0.03125, rate=86.9792)
[local] -5 -13 44.3359 (best c=2048.0, g=0.03125, rate=86.9792)
[local] -5 1 55.1432 (best c=2048.0, g=0.03125, rate=86.9792)
[local] -5 -11 44.3359 (best c=2048.0, g=0.03125, rate=86.9792)
[local] -5 -5 51.3021 (best c=2048.0, g=0.03125, rate=86.9792)
[local] -5 -15 43.1641 (best c=2048.0, g=0.03125, rate=86.9792)
[local] 5 3 81.3802 (best c=2048.0, g=0.03125, rate=86.9792)
[local] -1 3 78.3203 (best c=2048.0, g=0.03125, rate=86.9792)
[local] 11 3 81.3802 (best c=2048.0, g=0.03125, rate=86.9792)
[local] -3 3 68.8802 (best c=2048.0, g=0.03125, rate=86.9792)
[local] 9 3 81.3802 (best c=2048.0, g=0.03125, rate=86.9792)
[local] 3 3 81.25 (best c=2048.0, g=0.03125, rate=86.9792)
[local] 15 3 81.3151 (best c=2048.0, g=0.03125, rate=86.9792)
[local] -5 3 64.3229 (best c=2048.0, g=0.03125, rate=86.9792)
[local] 7 -7 79.6875 (best c=2048.0, g=0.03125, rate=86.9792)
[local] 7 -1 84.6354 (best c=2048.0, g=0.03125, rate=86.9792)
[local] 7 -13 61.1328 (best c=2048.0, g=0.03125, rate=86.9792)
[local] 7 1 82.5521 (best c=2048.0, g=0.03125, rate=86.9792)
[local] 7 -11 68.4896 (best c=2048.0, g=0.03125, rate=86.9792)
[local] 7 -5 84.8958 (best c=2048.0, g=0.03125, rate=86.9792)
[local] 7 -15 57.9427 (best c=2048.0, g=0.03125, rate=86.9792)
[local] 7 3 81.3802 (best c=2048.0, g=0.03125, rate=86.9792)
[local] 5 -9 72.2656 (best c=2048.0, g=0.03125, rate=86.9792)
[local] -1 -9 54.7526 (best c=2048.0, g=0.03125, rate=86.9792)
