[local] 5 -7 72.9167 (best c=32.0, g=0.0078125, rate=72.9167)
[local] -1 -7 55.4688 (best c=32.0, g=0.0078125, rate=72.9167)
[local] 5 -1 84.6354 (best c=32.0, g=0.5, rate=84.6354)
[local] -1 -1 71.4844 (best c=32.0, g=0.5, rate=84.6354)
[local] 11 -7 85.1562 (best c=2048.0, g=0.0078125, rate=85.1562)
[local] 11 -1 84.8307 (best c=2048.0, g=0.0078125, rate=85.1562)
[local] 5 -13 48.5026 (best c=2048.0, g=0.0078125, rate=85.1562)
[local] -1 -13 37.4349 (best c=2048.0, g=0.0078125, rate=85.1562)
[local] 11 -13 61.6536 (best c=2048.0, g=0.0078125, rate=85.1562)
[local] -3 -7 46.7448 (best c=2048.0, g=0.0078125, rate=85.1562)
[local] -3 -1 54.6224 (best c=2048.0, g=0.0078125, rate=85.1562)
[local] -3 -13 37.1745 (best c=2048.0, g=0.0078125, rate=85.1562)
[local] 5 1 82.0964 (best c=2048.0, g=0.0078125, rate=85.1562)
[local] -1 1 73.3073 (best c=2048.0, g=0.0078125, rate=85.1562)
[local] 11 1 82.4219 (best c=2048.0, g=0.0078125, rate=85.1562)
[local] -3 1 59.8307 (best c=2048.0, g=0.0078125, rate=85.1562)
[local] 9 -7 82.3568 (best c=2048.0, g=0.0078125, rate=85.1562)
[local] 9 -1 84.7005 (best c=2048.0, g=0.0078125, rate=85.1562)
[local] 9 -13 57.5521 (best c=2048.0, g=0.0078125, rate=85.1562)
[local] 9 1 82.4219 (best c=2048.0, g=0.0078125, rate=85.1562)
[local] 5 -11 56.5104 (best c=2048.0, g=0.0078125, rate=85.1562)
[local] -1 -11 41.7969 (best c=2048.0, g=0.0078125, rate=85.1562)
[local] 11 -11 71.3542 (best c=2048.0, g=0.0078125, rate=85.1562)
[local] -3 -11 37.6302 (best c=2048.0, g=0.0078125, rate=85.1562)
[local] 9 -11 67.7734 (best c=2048.0, g=0.0078125, rate=85.1562)
[local] 3 -7 67.6432 (best c=2048.0, g=0.0078125, rate=85.1562)
[local] 3 -1 82.2917 (best c=2048.0, g=0.0078125, rate=85.1562)
[local] 3 -13 44.401 (best c=2048.0, g=0.0078125, rate=85.1562)
[local] 3 1 81.901 (best c=2048.0, g=0.0078125, rate=85.1562)
[local] 3 -11 50.9766 (best c=2048.0, g=0.0078125, rate=85.1562)
[local] 5 -5 78.7109 (best c=2048.0, g=0.0078125, rate=85.1562)
[local] -1 -5 63.8672 (best c=2048.0, g=0.0078125, rate=85.1562)
[local] 11 -5 86.9141 (best c=2048.0, g=0.03125, rate=86.9141)
[local] -3 -5 53.2552 (best c=2048.0, g=0.03125, rate=86.9141)
[local] 9 -5 87.1094 (best c=512.0, g=0.03125, rate=87.1094)
[local] 3 -5 74.7396 (best c=512.0, g=0.03125, rate=87.1094)
[local] 15 -7 85.3516 (best c=512.0, g=0.03125, rate=87.1094)
[local] 15 -1 84.8307 (best c=512.0, g=0.03125, rate=87.1094)
[local] 15 -13 73.3073 (best c=512.0, g=0.03125, rate=87.1094)
[local] 15 1 82.4219 (best c=512.0, g=0.03125, rate=87.1094)
[local] 15 -11 79.4922 (best c=512.0, g=0.03125, rate=87.1094)
[local] 15 -5 86.849 (best c=512.0, g=0.03125, rate=87.1094)
[local] 5 -15 44.4661 (best c=512.0, g=0.03125, rate=87.1094)
[local] -1 -15 36.9141 (best c=512.0, g=0.03125, rate=87.1094)
[local] 11 -15 57.0964 (best c=512.0, g=0.03125, rate=87.1094)
[local] -3 -15 36.9141 (best c=512.0, g=0.03125, rate=87.1094)
[local] 9 -15 54.0365 (best c=512.0, g=0.03125, rate=87.1094)
[local] 3 -15 42.5781 (best c=512.0, g=0.03125, rate=87.1094)
[local] 15 -15 63.3464 (best c=512.0, g=0.03125, rate=87.1094)
[local] -5 -7 39.5833 (best c=512.0, g=0.03125, rate=87.1094)
[local] -5 -1 52.9297 (best c=512.0, g=0.03125, rate=87.1094)
[local] -5 -13 37.1745 (best c=512.0, g=0.03125, rate=87.1094)
[local] -5 1 57.4219 (best c=512.0, g=0.03125, rate=87.1094)
[local] -5 -11 37.6953 (best c=512.0, g=0.03125, rate=87.1094)
[local] -5 -5 46.7448 (best c=512.0, g=0.03125, rate=87.1094)
[local] -5 -15 36.9141 (best c=512.0, g=0.03125, rate=87.1094)
[local] 5 3 80.8594 (best c=512.0, g=0.03125, rate=87.1094)
[local] -1 3 76.3021 (best c=512.0, g=0.03125, rate=87.1094)
[local] 11 3 81.901 (best c=512.0, g=0.03125, rate=87.1094)
[local] -3 3 60.2865 (best c=512.0, g=0.03125, rate=87.1094)
[local] 9 3 81.901 (best c=512.0, g=0.03125, rate=87.1094)
[local] 3 3 80.9896 (best c=512.0, g=0.03125, rate=87.1094)
[local] 15 3 81.901 (best c=512.0, g=0.03125, rate=87.1094)
[local] -5 3 57.7474 (best c=512.0, g=0.03125, rate=87.1094)
[local] 7 -7 77.9297 (best c=512.0, g=0.03125, rate=87.1094)
[local] 7 -1 84.7005 (best c=512.0, g=0.03125, rate=87.1094)
[local] 7 -13 54.9479 (best c=512.0, g=0.03125, rate=87.1094)
[local] 7 1 82.0964 (best c=512.0, g=0.03125, rate=87.1094)
[local] 7 -11 62.3698 (best c=512.0, g=0.03125, rate=87.1094)
[local] 7 -5 84.375 (best c=512.0, g=0.03125, rate=87.1094)
[local] 7 -15 48.1771 (best c=512.0, g=0.03125, rate=87.1094)
[local] 7 3 81.901 (best c=512.0, g=0.03125, rate=87.1094)
