[local] 5 -7 79.1016 (best c=32.0, g=0.0078125, rate=79.1016)
[local] -1 -7 61.9792 (best c=32.0, g=0.0078125, rate=79.1016)
[local] 5 -1 82.1615 (best c=32.0, g=0.5, rate=82.1615)
[local] -1 -1 74.4141 (best c=32.0, g=0.5, rate=82.1615)
[local] 11 -7 86.1979 (best c=2048.0, g=0.0078125, rate=86.1979)
[local] 11 -1 82.487 (best c=2048.0, g=0.0078125, rate=86.1979)
[local] 5 -13 61.9141 (best c=2048.0, g=0.0078125, rate=86.1979)
[local] -1 -13 45.7682 (best c=2048.0, g=0.0078125, rate=86.1979)
[local] 11 -13 73.112 (best c=2048.0, g=0.0078125, rate=86.1979)
[local] -3 -7 58.0078 (best c=2048.0, g=0.0078125, rate=86.1979)
[local] -3 -1 55.4688 (best c=2048.0, g=0.0078125, rate=86.1979)
[local] -3 -13 45.638 (best c=2048.0, g=0.0078125, rate=86.1979)
[local] 5 1 80.6641 (best c=2048.0, g=0.0078125, rate=86.1979)
[local] -1 1 76.6276 (best c=2048.0, g=0.0078125, rate=86.1979)
[local] 11 1 80.6641 (best c=2048.0, g=0.0078125, rate=86.1979)
[local] -3 1 63.0859 (best c=2048.0, g=0.0078125, rate=86.1979)
[local] 9 -7 85.7422 (best c=2048.0, g=0.0078125, rate=86.1979)
[local] 9 -1 82.487 (best c=2048.0, g=0.0078125, rate=86.1979)
[local] 9 -13 68.3594 (best c=2048.0, g=0.0078125, rate=86.1979)
[local] 9 1 80.6641 (best c=2048.0, g=0.0078125, rate=86.1979)
[local] 5 -11 64.8438 (best c=2048.0, g=0.0078125, rate=86.1979)
[local] -1 -11 54.8177 (best c=2048.0, g=0.0078125, rate=86.1979)
[local] 11 -11 78.7109 (best c=2048.0, g=0.0078125, rate=86.1979)
[local] -3 -11 46.8099 (best c=2048.0, g=0.0078125, rate=86.1979)
[local] 9 -11 75.0651 (best c=2048.0, g=0.0078125, rate=86.1979)
[local] 3 -7 73.8932 (best c=2048.0, g=0.0078125, rate=86.1979)
[local] 3 -1 81.3151 (best c=2048.0, g=0.0078125, rate=86.1979)
[local] 3 -13 61.0677 (best c=2048.0, g=0.0078125, rate=86.1979)
[local] 3 1 80.4036 (best c=2048.0, g=0.0078125, rate=86.1979)
[local] 3 -11 62.0443 (best c=2048.0, g=0.0078125, rate=86.1979)
[local] 5 -5 82.5521 (best c=2048.0, g=0.0078125, rate=86.1979)
[local] -1 -5 68.8151 (best c=2048.0, g=0.0078125, rate=86.1979)
[local] 11 -5 87.0443 (best c=2048.0, g=0.03125, rate=87.0443)
[local] -3 -5 58.3984 (best c=2048.0, g=0.03125, rate=87.0443)
[local] 9 -5 86.6536 (best c=2048.0, g=0.03125, rate=87.0443)
[local] 3 -5 78.5807 (best c=2048.0, g=0.03125, rate=87.0443)
[local] 15 -7 86.6536 (best c=2048.0, g=0.03125, rate=87.0443)
[local] 15 -1 82.487 (best c=2048.0, g=0.03125, rate=87.0443)
[local] 15 -13 81.8359 (best c=2048.0, g=0.03125, rate=87.0443)
[local] 15 1 80.6641 (best c=2048.0, g=0.03125, rate=87.0443)
[local] 15 -11 83.6589 (best c=2048.0, g=0.03125, rate=87.0443)
[local] 15 -5 86.9792 (best c=2048.0, g=0.03125, rate=87.0443)
[local] 5 -15 61.5885 (best c=2048.0, g=0.03125, rate=87.0443)
[local] -1 -15 45.7031 (best c=2048.0, g=0.03125, rate=87.0443)
[local] 11 -15 67.5781 (best c=2048.0, g=0.03125, rate=87.0443)
[local] -3 -15 45.7031 (best c=2048.0, g=0.03125, rate=87.0443)
[local] 9 -15 63.8672 (best c=2048.0, g=0.03125, rate=87.0443)
[local] 3 -15 56.3151 (best c=2048.0, g=0.03125, rate=87.0443)
[local] 15 -15 76.7578 (best c=2048.0, g=0.03125, rate=87.0443)
[local] -5 -7 53.9062 (best c=2048.0, g=0.03125, rate=87.0443)
[local] -5 -1 52.9297 (best c=2048.0, g=0.03125, rate=87.0443)
[local] -5 -13 45.638 (best c=2048.0, g=0.03125, rate=87.0443)
[local] -5 1 60.3516 (best c=2048.0, g=0.03125, rate=87.0443)
[local] -5 -11 46.7448 (best c=2048.0, g=0.03125, rate=87.0443)
[local] -5 -5 55.013 (best c=2048.0, g=0.03125, rate=87.0443)
[local] -5 -15 45.7031 (best c=2048.0, g=0.03125, rate=87.0443)
[local] 5 3 78.5807 (best c=2048.0, g=0.03125, rate=87.0443)
[local] -1 3 76.9531 (best c=2048.0, g=0.03125, rate=87.0443)
[local] 11 3 78.5807 (best c=2048.0, g=0.03125, rate=87.0443)
[local] -3 3 69.5312 (best c=2048.0, g=0.03125, rate=87.0443)
[local] 9 3 78.5807 (best c=2048.0, g=0.03125, rate=87.0443)
[local] 3 3 78.5807 (best c=2048.0, g=0.03125, rate=87.0443)
[local] 15 3 78.5156 (best c=2048.0, g=0.03125, rate=87.0443)
[local] -5 3 65.4297 (best c=2048.0, g=0.03125, rate=87.0443)
[local] 7 -7 82.5521 (best c=2048.0, g=0.03125, rate=87.0443)
[local] 7 -1 82.487 (best c=2048.0, g=0.03125, rate=87.0443)
[local] 7 -13 63.9974 (best c=2048.0, g=0.03125, rate=87.0443)
[local] 7 1 80.6641 (best c=2048.0, g=0.03125, rate=87.0443)
[local] 7 -11 70.8984 (best c=2048.0, g=0.03125, rate=87.0443)
[local] 7 -5 85.8073 (best c=2048.0, g=0.03125, rate=87.0443)
[local] 7 -15 61.849 (best c=2048.0, g=0.03125, rate=87.0443)
[local] 7 3 78.5807 (best c=2048.0, g=0.03125, rate=87.0443)
[local] 5 -9 72.3307 (best c=2048.0, g=0.03125, rate=87.0443)
[local] -1 -9 60.2865 (best c=2048.0, g=0.03125, rate=87.0443)
[local] 11 -9 83.2682 (best c=2048.0, g=0.03125, rate=87.0443)
[local] -3 -9 51.6927 (best c=2048.0, g=0.03125, rate=87.0443)
[local] 9 -9 80.4036 (best c=2048.0, g=0.03125, rate=87.0443)
[local] 3 -9 66.9922 (best c=2048.0, g=0.03125, rate=87.0443)
[local] 15 -9 84.3099 (best c=2048.0, g=0.03125, rate=87.0443)
[local] -5 -9 47.9167 (best c=2048.0, g=0.03125, rate=87.0443)
[local] 7 -9 76.8229 (best c=2048.0, g=0.03125, rate=87.0443)
[local] 1 -7 68.2943 (best c=2048.0, g=0.03125, rate=87.0443)
[local] 1 -1 78.4505 (best c=2048.0, g=0.03125, rate=87.0443)
[local] 1 -13 55.599 (best c=2048.0, g=0.03125, rate=87.0443)
[local] 1 1 79.5573 (best c=2048.0, g=0.03125, rate=87.0443)
[local] 1 -11 60.9375 (best c=2048.0, g=0.03125, rate=87.0443)
[local] 1 -5 73.8281 (best c=2048.0, g=0.03125, rate=87.0443)
[local] 1 -15 45.8984 (best c=2048.0, g=0.03125, rate=87.0443)
[local] 1 3 78.5156 (best c=2048.0, g=0.03125, rate=87.0443)
