[local] 5 -7 77.3438 (best c=32.0, g=0.0078125, rate=77.3438)
[local] -1 -7 63.3464 (best c=32.0, g=0.0078125, rate=77.3438)
[local] 5 -1 83.0729 (best c=32.0, g=0.5, rate=83.0729)
[local] -1 -1 73.763 (best c=32.0, g=0.5, rate=83.0729)
[local] 11 -7 85.8724 (best c=2048.0, g=0.0078125, rate=85.8724)
[local] 11 -1 82.9427 (best c=2048.0, g=0.0078125, rate=85.8724)
[local] 5 -13 62.2396 (best c=2048.0, g=0.0078125, rate=85.8724)
[local] -1 -13 44.4661 (best c=2048.0, g=0.0078125, rate=85.8724)
[local] 11 -13 71.875 (best c=2048.0, g=0.0078125, rate=85.8724)
[local] -3 -7 56.25 (best c=2048.0, g=0.0078125, rate=85.8724)
[local] -3 -1 54.1016 (best c=2048.0, g=0.0078125, rate=85.8724)
[local] -3 -13 44.4661 (best c=2048.0, g=0.0078125, rate=85.8724)
[local] 5 1 81.25 (best c=2048.0, g=0.0078125, rate=85.8724)
[local] -1 1 76.0417 (best c=2048.0, g=0.0078125, rate=85.8724)
[local] 11 1 81.3802 (best c=2048.0, g=0.0078125, rate=85.8724)
[local] -3 1 63.2161 (best c=2048.0, g=0.0078125, rate=85.8724)
[local] 9 -7 84.8958 (best c=2048.0, g=0.0078125, rate=85.8724)
[local] 9 -1 82.9427 (best c=2048.0, g=0.0078125, rate=85.8724)
[local] 9 -13 66.9271 (best c=2048.0, g=0.0078125, rate=85.8724)
[local] 9 1 81.3802 (best c=2048.0, g=0.0078125, rate=85.8724)
[local] 5 -11 65.2344 (best c=2048.0, g=0.0078125, rate=85.8724)
[local] -1 -11 55.2083 (best c=2048.0, g=0.0078125, rate=85.8724)
[local] 11 -11 77.6693 (best c=2048.0, g=0.0078125, rate=85.8724)
[local] -3 -11 45.2474 (best c=2048.0, g=0.0078125, rate=85.8724)
[local] 9 -11 74.2839 (best c=2048.0, g=0.0078125, rate=85.8724)
[local] 3 -7 72.7865 (best c=2048.0, g=0.0078125, rate=85.8724)
[local] 3 -1 81.7057 (best c=2048.0, g=0.0078125, rate=85.8724)
[local] 3 -13 61.5885 (best c=2048.0, g=0.0078125, rate=85.8724)
[local] 3 1 81.1198 (best c=2048.0, g=0.0078125, rate=85.8724)
[local] 3 -11 62.8906 (best c=2048.0, g=0.0078125, rate=85.8724)
[local] 5 -5 81.5104 (best c=2048.0, g=0.0078125, rate=85.8724)
[local] -1 -5 67.6432 (best c=2048.0, g=0.0078125, rate=85.8724)
[local] 11 -5 86.7839 (best c=2048.0, g=0.03125, rate=86.7839)
[local] -3 -5 58.5286 (best c=2048.0, g=0.03125, rate=86.7839)
[local] 9 -5 86.5885 (best c=2048.0, g=0.03125, rate=86.7839)
[local] 3 -5 77.3438 (best c=2048.0, g=0.03125, rate=86.7839)
[local] 15 -7 86.1979 (best c=2048.0, g=0.03125, rate=86.7839)
[local] 15 -1 82.9427 (best c=2048.0, g=0.03125, rate=86.7839)
[local] 15 -13 79.0365 (best c=2048.0, g=0.03125, rate=86.7839)
[local] 15 1 81.3802 (best c=2048.0, g=0.03125, rate=86.7839)
[local] 15 -11 82.0312 (best c=2048.0, g=0.03125, rate=86.7839)
[local] 15 -5 86.7188 (best c=2048.0, g=0.03125, rate=86.7839)
[local] 5 -15 61.5234 (best c=2048.0, g=0.03125, rate=86.7839)
[local] -1 -15 43.8151 (best c=2048.0, g=0.03125, rate=86.7839)
[local] 11 -15 66.3411 (best c=2048.0, g=0.03125, rate=86.7839)
[local] -3 -15 43.8151 (best c=2048.0, g=0.03125, rate=86.7839)
[local] 9 -15 63.4115 (best c=2048.0, g=0.03125, rate=86.7839)
[local] 3 -15 57.487 (best c=2048.0, g=0.03125, rate=86.7839)
[local] 15 -15 75.5208 (best c=2048.0, g=0.03125, rate=86.7839)
[local] -5 -7 53.3854 (best c=2048.0, g=0.03125, rate=86.7839)
