[local] 5 -7 75.651 (best c=32.0, g=0.0078125, rate=75.651)
[local] -1 -7 59.7656 (best c=32.0, g=0.0078125, rate=75.651)
[local] 5 -1 83.6589 (best c=32.0, g=0.5, rate=83.6589)
[local] -1 -1 72.7214 (best c=32.0, g=0.5, rate=83.6589)
[local] 11 -7 85.6771 (best c=2048.0, g=0.0078125, rate=85.6771)
[local] 11 -1 84.1146 (best c=2048.0, g=0.0078125, rate=85.6771)
[local] 5 -13 56.901 (best c=2048.0, g=0.0078125, rate=85.6771)
[local] -1 -13 41.9271 (best c=2048.0, g=0.0078125, rate=85.6771)
[local] 11 -13 69.2057 (best c=2048.0, g=0.0078125, rate=85.6771)
[local] -3 -7 49.4141 (best c=2048.0, g=0.0078125, rate=85.6771)
[local] -3 -1 51.3672 (best c=2048.0, g=0.0078125, rate=85.6771)
[local] -3 -13 41.7969 (best c=2048.0, g=0.0078125, rate=85.6771)
[local] 5 1 81.4453 (best c=2048.0, g=0.0078125, rate=85.6771)
[local] -1 1 75.5208 (best c=2048.0, g=0.0078125, rate=85.6771)
[local] 11 1 81.7708 (best c=2048.0, g=0.0078125, rate=85.6771)
[local] -3 1 54.4922 (best c=2048.0, g=0.0078125, rate=85.6771)
[local] 9 -7 83.6589 (best c=2048.0, g=0.0078125, rate=85.6771)
[local] 9 -1 84.0495 (best c=2048.0, g=0.0078125, rate=85.6771)
[local] 9 -13 64.974 (best c=2048.0, g=0.0078125, rate=85.6771)
[local] 9 1 81.7708 (best c=2048.0, g=0.0078125, rate=85.6771)
[local] 5 -11 61.5234 (best c=2048.0, g=0.0078125, rate=85.6771)
[local] -1 -11 47.8516 (best c=2048.0, g=0.0078125, rate=85.6771)
[local] 11 -11 75.7812 (best c=2048.0, g=0.0078125, rate=85.6771)
[local] -3 -11 42.5781 (best c=2048.0, g=0.0078125, rate=85.6771)
[local] 9 -11 72.3307 (best c=2048.0, g=0.0078125, rate=85.6771)
[local] 3 -7 72.5911 (best c=2048.0, g=0.0078125, rate=85.6771)
[local] 3 -1 81.901 (best c=2048.0, g=0.0078125, rate=85.6771)
[local] 3 -13 52.0833 (best c=2048.0, g=0.0078125, rate=85.6771)
[local] 3 1 81.3151 (best c=2048.0, g=0.0078125, rate=85.6771)
[local] 3 -11 57.3568 (best c=2048.0, g=0.0078125, rate=85.6771)
[local] 5 -5 80.1432 (best c=2048.0, g=0.0078125, rate=85.6771)
[local] -1 -5 66.0807 (best c=2048.0, g=0.0078125, rate=85.6771)
[local] 11 -5 86.849 (best c=2048.0, g=0.03125, rate=86.849)
[local] -3 -5 55.2734 (best c=2048.0, g=0.03125, rate=86.849)
[local] 9 -5 86.7839 (best c=2048.0, g=0.03125, rate=86.849)
[local] 3 -5 76.1719 (best c=2048.0, g=0.03125, rate=86.849)
[local] 15 -7 84.8958 (best c=2048.0, g=0.03125, rate=86.849)
[local] 15 -1 84.1146 (best c=2048.0, g=0.03125, rate=86.849)
[local] 15 -13 76.3672 (best c=2048.0, g=0.03125, rate=86.849)
[local] 15 1 81.7708 (best c=2048.0, g=0.03125, rate=86.849)
[local] 15 -11 80.6641 (best c=2048.0, g=0.03125, rate=86.849)
[local] 15 -5 86.9792 (best c=32768.0, g=0.03125, rate=86.9792)
[local] 5 -15 52.0182 (best c=32768.0, g=0.03125, rate=86.9792)
[local] -1 -15 40.5599 (best c=32768.0, g=0.03125, rate=86.9792)
[local] 11 -15 63.151 (best c=32768.0, g=0.03125, rate=86.9792)
[local] -3 -15 40.5599 (best c=32768.0, g=0.03125, rate=86.9792)
[local] 9 -15 60.4818 (best c=32768.0, g=0.03125, rate=86.9792)
[local] 3 -15 48.8281 (best c=32768.0, g=0.03125, rate=86.9792)
[local] 15 -15 70.3125 (best c=32768.0, g=0.03125, rate=86.9792)
[local] -5 -7 45.1172 (best c=32768.0, g=0.03125, rate=86.9792)
[local] -5 -1 47.2005 (best c=32768.0, g=0.03125, rate=86.9792)
[local] -5 -13 41.7969 (best c=32768.0, g=0.03125, rate=86.9792)
[local] -5 1 50.9766 (best c=32768.0, g=0.03125, rate=86.9792)
[local] -5 -11 42.5781 (best c=32768.0, g=0.03125, rate=86.9792)
[local] -5 -5 51.1719 (best c=32768.0, g=0.03125, rate=86.9792)
[local] -5 -15 40.5599 (best c=32768.0, g=0.03125, rate=86.9792)
[local] 5 3 80.8594 (best c=32768.0, g=0.03125, rate=86.9792)
[local] -1 3 77.474 (best c=32768.0, g=0.03125, rate=86.9792)
[local] 11 3 80.9245 (best c=32768.0, g=0.03125, rate=86.9792)
[local] -3 3 68.6849 (best c=32768.0, g=0.03125, rate=86.9792)
[local] 9 3 80.9245 (best c=32768.0, g=0.03125, rate=86.9792)
[local] 3 3 80.8594 (best c=32768.0, g=0.03125, rate=86.9792)
[local] 15 3 80.9245 (best c=32768.0, g=0.03125, rate=86.9792)
[local] -5 3 65.1693 (best c=32768.0, g=0.03125, rate=86.9792)
[local] 7 -7 79.4922 (best c=32768.0, g=0.03125, rate=86.9792)
[local] 7 -1 83.7891 (best c=32768.0, g=0.03125, rate=86.9792)
[local] 7 -13 60.612 (best c=32768.0, g=0.03125, rate=86.9792)
[local] 7 1 81.7057 (best c=32768.0, g=0.03125, rate=86.9792)
[local] 7 -11 67.9036 (best c=32768.0, g=0.03125, rate=86.9792)
[local] 7 -5 84.5703 (best c=32768.0, g=0.03125, rate=86.9792)
[local] 7 -15 56.6406 (best c=32768.0, g=0.03125, rate=86.9792)
[local] 7 3 80.9245 (best c=32768.0, g=0.03125, rate=86.9792)
[local] 5 -9 70.8984 (best c=32768.0, g=0.03125, rate=86.9792)
[local] -1 -9 52.7344 (best c=32768.0, g=0.03125, rate=86.9792)
[local] 11 -9 80.2734 (best c=32768.0, g=0.03125, rate=86.9792)
[local] -3 -9 44.4661 (best c=32768.0, g=0.03125, rate=86.9792)
[local] 9 -9 77.5391 (best c=32768.0, g=0.03125, rate=86.9792)
[local] 3 -9 63.6719 (best c=32768.0, g=0.03125, rate=86.9792)
[local] 15 -9 84.1797 (best c=32768.0, g=0.03125, rate=86.9792)
[local] -5 -9 44.1406 (best c=32768.0, g=0.03125, rate=86.9792)
[local] 7 -9 75.4557 (best c=32768.0, g=0.03125, rate=86.9792)
[local] 1 -7 65.8854 (best c=32768.0, g=0.03125, rate=86.9792)
[local] 1 -1 77.9948 (best c=32768.0, g=0.03125, rate=86.9792)
[local] 1 -13 48.4375 (best c=32768.0, g=0.03125, rate=86.9792)
[local] 1 1 79.1016 (best c=32768.0, g=0.03125, rate=86.9792)
[local] 1 -11 52.5391 (best c=32768.0, g=0.03125, rate=86.9792)
[local] 1 -5 71.9401 (best c=32768.0, g=0.03125, rate=86.9792)
[local] 1 -15 40.625 (best c=32768.0, g=0.03125, rate=86.9792)
[local] 1 3 80.8594 (best c=32768.0, g=0.03125, rate=86.9792)
[local] 1 -9 58.3333 (best c=32768.0, g=0.03125, rate=86.9792)
