[local] 5 -7 75.2604 (best c=32.0, g=0.0078125, rate=75.2604)
[local] -1 -7 55.3385 (best c=32.0, g=0.0078125, rate=75.2604)
[local] 5 -1 83.7891 (best c=32.0, g=0.5, rate=83.7891)
[local] -1 -1 73.0469 (best c=32.0, g=0.5, rate=83.7891)
[local] 11 -7 82.1615 (best c=32.0, g=0.5, rate=83.7891)
[local] 11 -1 84.1797 (best c=2048.0, g=0.5, rate=84.1797)
[local] 5 -13 51.0417 (best c=2048.0, g=0.5, rate=84.1797)
[local] -1 -13 39.5182 (best c=2048.0, g=0.5, rate=84.1797)
[local] 11 -13 65.2344 (best c=2048.0, g=0.5, rate=84.1797)
[local] -3 -7 47.6562 (best c=2048.0, g=0.5, rate=84.1797)
[local] -3 -1 54.1667 (best c=2048.0, g=0.5, rate=84.1797)
[local] -3 -13 39.388 (best c=2048.0, g=0.5, rate=84.1797)
[local] 5 1 81.0547 (best c=2048.0, g=0.5, rate=84.1797)
[local] -1 1 73.9583 (best c=2048.0, g=0.5, rate=84.1797)
[local] 11 1 81.25 (best c=2048.0, g=0.5, rate=84.1797)
[local] -3 1 54.1667 (best c=2048.0, g=0.5, rate=84.1797)
[local] 9 -7 79.8828 (best c=2048.0, g=0.5, rate=84.1797)
[local] 9 -1 84.6354 (best c=512.0, g=0.5, rate=84.6354)
[local] 9 -13 59.0495 (best c=512.0, g=0.5, rate=84.6354)
[local] 9 1 81.25 (best c=512.0, g=0.5, rate=84.6354)
[local] 5 -11 57.5521 (best c=512.0, g=0.5, rate=84.6354)
[local] -1 -11 43.8151 (best c=512.0, g=0.5, rate=84.6354)
[local] 11 -11 73.1771 (best c=512.0, g=0.5, rate=84.6354)
[local] -3 -11 40.1042 (best c=512.0, g=0.5, rate=84.6354)
[local] 9 -11 69.6615 (best c=512.0, g=0.5, rate=84.6354)
[local] 3 -7 70.0521 (best c=512.0, g=0.5, rate=84.6354)
[local] 3 -1 81.901 (best c=512.0, g=0.5, rate=84.6354)
[local] 3 -13 46.5495 (best c=512.0, g=0.5, rate=84.6354)
[local] 3 1 80.4036 (best c=512.0, g=0.5, rate=84.6354)
[local] 3 -11 52.6693 (best c=512.0, g=0.5, rate=84.6354)
[local] 5 -5 77.7344 (best c=512.0, g=0.5, rate=84.6354)
[local] -1 -5 61.6536 (best c=512.0, g=0.5, rate=84.6354)
[local] 11 -5 85.9375 (best c=2048.0, g=0.03125, rate=85.9375)
[local] -3 -5 53.8411 (best c=2048.0, g=0.03125, rate=85.9375)
[local] 9 -5 85.1562 (best c=2048.0, g=0.03125, rate=85.9375)
[local] 3 -5 76.3021 (best c=2048.0, g=0.03125, rate=85.9375)
[local] 15 -7 83.3333 (best c=2048.0, g=0.03125, rate=85.9375)
[local] 15 -1 84.0495 (best c=2048.0, g=0.03125, rate=85.9375)
[local] 15 -13 74.349 (best c=2048.0, g=0.03125, rate=85.9375)
[local] 15 1 81.25 (best c=2048.0, g=0.03125, rate=85.9375)
[local] 15 -11 78.4505 (best c=2048.0, g=0.03125, rate=85.9375)
[local] 15 -5 85.9375 (best c=2048.0, g=0.03125, rate=85.9375)
[local] 5 -15 46.3542 (best c=2048.0, g=0.03125, rate=85.9375)
[local] -1 -15 37.6302 (best c=2048.0, g=0.03125, rate=85.9375)
[local] 11 -15 57.487 (best c=2048.0, g=0.03125, rate=85.9375)
[local] -3 -15 37.6302 (best c=2048.0, g=0.03125, rate=85.9375)
[local] 9 -15 55.5339 (best c=2048.0, g=0.03125, rate=85.9375)
[local] 3 -15 42.5781 (best c=2048.0, g=0.03125, rate=85.9375)
[local] 15 -15 65.8854 (best c=2048.0, g=0.03125, rate=85.9375)
[local] -5 -7 42.1224 (best c=2048.0, g=0.03125, rate=85.9375)
[local] -5 -1 52.4089 (best c=2048.0, g=0.03125, rate=85.9375)
[local] -5 -13 39.388 (best c=2048.0, g=0.03125, rate=85.9375)
[local] -5 1 53.9062 (best c=2048.0, g=0.03125, rate=85.9375)
[local] -5 -11 40.0391 (best c=2048.0, g=0.03125, rate=85.9375)
[local] -5 -5 46.5495 (best c=2048.0, g=0.03125, rate=85.9375)
[local] -5 -15 37.6302 (best c=2048.0, g=0.03125, rate=85.9375)
[local] 5 3 80.5339 (best c=2048.0, g=0.03125, rate=85.9375)
[local] -1 3 75.1302 (best c=2048.0, g=0.03125, rate=85.9375)
[local] 11 3 80.4688 (best c=2048.0, g=0.03125, rate=85.9375)
[local] -3 3 62.6302 (best c=2048.0, g=0.03125, rate=85.9375)
[local] 9 3 80.4688 (best c=2048.0, g=0.03125, rate=85.9375)
[local] 3 3 80.4688 (best c=2048.0, g=0.03125, rate=85.9375)
[local] 15 3 80.4688 (best c=2048.0, g=0.03125, rate=85.9375)
[local] -5 3 61.9141 (best c=2048.0, g=0.03125, rate=85.9375)
[local] 7 -7 76.6927 (best c=2048.0, g=0.03125, rate=85.9375)
[local] 7 -1 84.4401 (best c=2048.0, g=0.03125, rate=85.9375)
[local] 7 -13 55.8594 (best c=2048.0, g=0.03125, rate=85.9375)
[local] 7 1 81.1849 (best c=2048.0, g=0.03125, rate=85.9375)
[local] 7 -11 63.2812 (best c=2048.0, g=0.03125, rate=85.9375)
[local] 7 -5 82.1615 (best c=2048.0, g=0.03125, rate=85.9375)
[local] 7 -15 49.8047 (best c=2048.0, g=0.03125, rate=85.9375)
[local] 7 3 80.4688 (best c=2048.0, g=0.03125, rate=85.9375)
[local] 5 -9 67.6432 (best c=2048.0, g=0.03125, rate=85.9375)
[local] -1 -9 48.1771 (best c=2048.0, g=0.03125, rate=85.9375)
[local] 11 -9 78.9714 (best c=2048.0, g=0.03125, rate=85.9375)
[local] -3 -9 44.401 (best c=2048.0, g=0.03125, rate=85.9375)
[local] 9 -9 75.8464 (best c=2048.0, g=0.03125, rate=85.9375)
[local] 3 -9 59.2448 (best c=2048.0, g=0.03125, rate=85.9375)
[local] 15 -9 80.9896 (best c=2048.0, g=0.03125, rate=85.9375)
[local] -5 -9 41.3411 (best c=2048.0, g=0.03125, rate=85.9375)
[local] 7 -9 72.8516 (best c=2048.0, g=0.03125, rate=85.9375)
[local] 1 -7 61.3932 (best c=2048.0, g=0.03125, rate=85.9375)
[local] 1 -1 76.9531 (best c=2048.0, g=0.03125, rate=85.9375)
[local] 1 -13 43.099 (best c=2048.0, g=0.03125, rate=85.9375)
[local] 1 1 78.0599 (best c=2048.0, g=0.03125, rate=85.9375)
[local] 1 -11 47.1354 (best c=2048.0, g=0.03125, rate=85.9375)
[local] 1 -5 70.7682 (best c=2048.0, g=0.03125, rate=85.9375)
[local] 1 -15 38.2161 (best c=2048.0, g=0.03125, rate=85.9375)
[local] 1 3 79.6224 (best c=2048.0, g=0.03125, rate=85.9375)
[local] 1 -9 54.2318 (best c=2048.0, g=0.03125, rate=85.9375)
[local] 5 -3 83.3333 (best c=2048.0, g=0.03125, rate=85.9375)
[local] -1 -3 71.1589 (best c=2048.0, g=0.03125, rate=85.9375)
[local] 11 -3 86.4583 (best c=2048.0, g=0.125, rate=86.4583)
[local] -3 -3 57.6823 (best c=2048.0, g=0.125, rate=86.4583)
[local] 9 -3 86.3281 (best c=2048.0, g=0.125, rate=86.4583)
[local] 3 -3 77.9948 (best c=2048.0, g=0.125, rate=86.4583)
[local] 15 -3 86.3932 (best c=2048.0, g=0.125, rate=86.4583)
[local] -5 -3 54.5573 (best c=2048.0, g=0.125, rate=86.4583)
[local] 7 -3 85.7422 (best c=2048.0, g=0.125, rate=86.4583)
[local] 1 -3 76.7578 (best c=2048.0, g=0.125, rate=86.4583)
[local] 13 -7 83.2682 (best c=2048.0, g=0.125, rate=86.4583)
[local] 13 -1 84.1146 (best c=2048.0, g=0.125, rate=86.4583)
[local] 13 -13 70.5729 (best c=2048.0, g=0.125, rate=86.4583)
[local] 13 1 81.25 (best c=2048.0, g=0.125, rate=86.4583)
[local] 13 -11 76.888 (best c=2048.0, g=0.125, rate=86.4583)
[local] 13 -5 86.0677 (best c=2048.0, g=0.125, rate=86.4583)
[local] 13 -15 61.3932 (best c=2048.0, g=0.125, rate=86.4583)
[local] 13 3 80.4688 (best c=2048.0, g=0.125, rate=86.4583)
[local] 13 -9 80.0781 (best c=2048.0, g=0.125, rate=86.4583)
[local] 13 -3 86.5885 (best c=8192.0, g=0.125, rate=86.5885)
8192.0 0.125 86.5885
