[local] 5 -7 76.6276 (best c=32.0, g=0.0078125, rate=76.6276)
[local] -1 -7 67.3177 (best c=32.0, g=0.0078125, rate=76.6276)
[local] 5 -1 81.6406 (best c=32.0, g=0.5, rate=81.6406)
[local] -1 -1 73.8932 (best c=32.0, g=0.5, rate=81.6406)
[local] 11 -7 85.4818 (best c=2048.0, g=0.0078125, rate=85.4818)
[local] 11 -1 82.1615 (best c=2048.0, g=0.0078125, rate=85.4818)
[local] 5 -13 66.4062 (best c=2048.0, g=0.0078125, rate=85.4818)
[local] -1 -13 44.4661 (best c=2048.0, g=0.0078125, rate=85.4818)
[local] 11 -13 72.2656 (best c=2048.0, g=0.0078125, rate=85.4818)
[local] -3 -7 62.5 (best c=2048.0, g=0.0078125, rate=85.4818)
[local] -3 -1 45.5729 (best c=2048.0, g=0.0078125, rate=85.4818)
[local] -3 -13 44.3359 (best c=2048.0, g=0.0078125, rate=85.4818)
[local] 5 1 80.6641 (best c=2048.0, g=0.0078125, rate=85.4818)
[local] -1 1 76.3672 (best c=2048.0, g=0.0078125, rate=85.4818)
[local] 11 1 80.7943 (best c=2048.0, g=0.0078125, rate=85.4818)
[local] -3 1 56.5755 (best c=2048.0, g=0.0078125, rate=85.4818)
[local] 9 -7 85.1562 (best c=2048.0, g=0.0078125, rate=85.4818)
[local] 9 -1 82.1615 (best c=2048.0, g=0.0078125, rate=85.4818)
[local] 9 -13 68.6849 (best c=2048.0, g=0.0078125, rate=85.4818)
[local] 9 1 80.7943 (best c=2048.0, g=0.0078125, rate=85.4818)
[local] 5 -11 68.0339 (best c=2048.0, g=0.0078125, rate=85.4818)
[local] -1 -11 60.026 (best c=2048.0, g=0.0078125, rate=85.4818)
[local] 11 -11 77.4089 (best c=2048.0, g=0.0078125, rate=85.4818)
[local] -3 -11 45.7682 (best c=2048.0, g=0.0078125, rate=85.4818)
[local] 9 -11 72.9818 (best c=2048.0, g=0.0078125, rate=85.4818)
[local] 3 -7 72.7214 (best c=2048.0, g=0.0078125, rate=85.4818)
[local] 3 -1 81.25 (best c=2048.0, g=0.0078125, rate=85.4818)
[local] 3 -13 66.5365 (best c=2048.0, g=0.0078125, rate=85.4818)
[local] 3 1 80.3385 (best c=2048.0, g=0.0078125, rate=85.4818)
[local] 3 -11 66.6016 (best c=2048.0, g=0.0078125, rate=85.4818)
[local] 5 -5 82.6823 (best c=2048.0, g=0.0078125, rate=85.4818)
[local] -1 -5 68.0339 (best c=2048.0, g=0.0078125, rate=85.4818)
[local] 11 -5 85.612 (best c=2048.0, g=0.03125, rate=85.612)
[local] -3 -5 53.6458 (best c=2048.0, g=0.03125, rate=85.612)
