[local] 5 -7 60.4167 (best c=32.0, g=0.0078125, rate=60.4167)
[local] -1 -7 45.1823 (best c=32.0, g=0.0078125, rate=60.4167)
[local] 5 -1 80.4688 (best c=32.0, g=0.5, rate=80.4688)
[local] -1 -1 69.4661 (best c=32.0, g=0.5, rate=80.4688)
[local] 11 -7 73.4375 (best c=32.0, g=0.5, rate=80.4688)
[local] 11 -1 84.2448 (best c=2048.0, g=0.5, rate=84.2448)
[local] 5 -13 38.5417 (best c=2048.0, g=0.5, rate=84.2448)
[local] -1 -13 33.2031 (best c=2048.0, g=0.5, rate=84.2448)
[local] 11 -13 49.2188 (best c=2048.0, g=0.5, rate=84.2448)
[local] -3 -7 38.0208 (best c=2048.0, g=0.5, rate=84.2448)
[local] -3 -1 51.1068 (best c=2048.0, g=0.5, rate=84.2448)
[local] -3 -13 33.138 (best c=2048.0, g=0.5, rate=84.2448)
[local] 5 1 82.9427 (best c=2048.0, g=0.5, rate=84.2448)
[local] -1 1 71.7448 (best c=2048.0, g=0.5, rate=84.2448)
[local] 11 1 83.9193 (best c=2048.0, g=0.5, rate=84.2448)
[local] -3 1 48.3724 (best c=2048.0, g=0.5, rate=84.2448)
[local] 9 -7 69.5964 (best c=2048.0, g=0.5, rate=84.2448)
[local] 9 -1 84.0495 (best c=2048.0, g=0.5, rate=84.2448)
[local] 9 -13 44.1406 (best c=2048.0, g=0.5, rate=84.2448)
[local] 9 1 83.724 (best c=2048.0, g=0.5, rate=84.2448)
[local] 5 -11 46.0938 (best c=2048.0, g=0.5, rate=84.2448)
[local] -1 -11 32.7474 (best c=2048.0, g=0.5, rate=84.2448)
[local] 11 -11 55.8594 (best c=2048.0, g=0.5, rate=84.2448)
[local] -3 -11 33.6589 (best c=2048.0, g=0.5, rate=84.2448)
[local] 9 -11 54.0365 (best c=2048.0, g=0.5, rate=84.2448)
[local] 3 -7 56.1849 (best c=2048.0, g=0.5, rate=84.2448)
[local] 3 -1 77.0182 (best c=2048.0, g=0.5, rate=84.2448)
[local] 3 -13 34.5052 (best c=2048.0, g=0.5, rate=84.2448)
[local] 3 1 80.7943 (best c=2048.0, g=0.5, rate=84.2448)
[local] 3 -11 41.2109 (best c=2048.0, g=0.5, rate=84.2448)
[local] 5 -5 70.4427 (best c=2048.0, g=0.5, rate=84.2448)
[local] -1 -5 53.0599 (best c=2048.0, g=0.5, rate=84.2448)
[local] 11 -5 79.8177 (best c=2048.0, g=0.5, rate=84.2448)
[local] -3 -5 46.6797 (best c=2048.0, g=0.5, rate=84.2448)
