[local] 5 -7 66.6016 (best c=32.0, g=0.0078125, rate=66.6016)
[local] -1 -7 46.6146 (best c=32.0, g=0.0078125, rate=66.6016)
[local] 5 -1 83.138 (best c=32.0, g=0.5, rate=83.138)
[local] -1 -1 73.3073 (best c=32.0, g=0.5, rate=83.138)
[local] 11 -7 75.651 (best c=32.0, g=0.5, rate=83.138)
[local] 11 -1 84.6354 (best c=2048.0, g=0.5, rate=84.6354)
[local] 5 -13 39.2578 (best c=2048.0, g=0.5, rate=84.6354)
[local] -1 -13 31.3151 (best c=2048.0, g=0.5, rate=84.6354)
[local] 11 -13 52.3438 (best c=2048.0, g=0.5, rate=84.6354)
[local] -3 -7 41.9271 (best c=2048.0, g=0.5, rate=84.6354)
[local] -3 -1 62.6302 (best c=2048.0, g=0.5, rate=84.6354)
[local] -3 -13 31.3151 (best c=2048.0, g=0.5, rate=84.6354)
[local] 5 1 82.487 (best c=2048.0, g=0.5, rate=84.6354)
[local] -1 1 74.4141 (best c=2048.0, g=0.5, rate=84.6354)
[local] 11 1 82.8125 (best c=2048.0, g=0.5, rate=84.6354)
[local] -3 1 54.5573 (best c=2048.0, g=0.5, rate=84.6354)
[local] 9 -7 73.8281 (best c=2048.0, g=0.5, rate=84.6354)
[local] 9 -1 84.7005 (best c=512.0, g=0.5, rate=84.7005)
[local] 9 -13 48.8932 (best c=512.0, g=0.5, rate=84.7005)
[local] 9 1 82.8125 (best c=512.0, g=0.5, rate=84.7005)
[local] 5 -11 47.3958 (best c=512.0, g=0.5, rate=84.7005)
[local] -1 -11 35.026 (best c=512.0, g=0.5, rate=84.7005)
[local] 11 -11 61.7188 (best c=512.0, g=0.5, rate=84.7005)
[local] -3 -11 35.0911 (best c=512.0, g=0.5, rate=84.7005)
[local] 9 -11 57.1615 (best c=512.0, g=0.5, rate=84.7005)
[local] 3 -7 58.7891 (best c=512.0, g=0.5, rate=84.7005)
[local] 3 -1 78.9062 (best c=512.0, g=0.5, rate=84.7005)
[local] 3 -13 37.1745 (best c=512.0, g=0.5, rate=84.7005)
[local] 3 1 80.4688 (best c=512.0, g=0.5, rate=84.7005)
[local] 3 -11 41.9271 (best c=512.0, g=0.5, rate=84.7005)
[local] 5 -5 74.2839 (best c=512.0, g=0.5, rate=84.7005)
[local] -1 -5 54.2318 (best c=512.0, g=0.5, rate=84.7005)
[local] 11 -5 83.0729 (best c=512.0, g=0.5, rate=84.7005)
[local] -3 -5 47.1354 (best c=512.0, g=0.5, rate=84.7005)
[local] 9 -5 78.776 (best c=512.0, g=0.5, rate=84.7005)
[local] 3 -5 70.8333 (best c=512.0, g=0.5, rate=84.7005)
[local] 15 -7 81.7057 (best c=512.0, g=0.5, rate=84.7005)
[local] 15 -1 84.6354 (best c=512.0, g=0.5, rate=84.7005)
[local] 15 -13 63.0208 (best c=512.0, g=0.5, rate=84.7005)
[local] 15 1 82.8125 (best c=512.0, g=0.5, rate=84.7005)
[local] 15 -11 70.5729 (best c=512.0, g=0.5, rate=84.7005)
[local] 15 -5 83.9844 (best c=512.0, g=0.5, rate=84.7005)
[local] 5 -15 36.5234 (best c=512.0, g=0.5, rate=84.7005)
[local] -1 -15 30.4688 (best c=512.0, g=0.5, rate=84.7005)
[local] 11 -15 43.6198 (best c=512.0, g=0.5, rate=84.7005)
[local] -3 -15 30.4688 (best c=512.0, g=0.5, rate=84.7005)
[local] 9 -15 40.8203 (best c=512.0, g=0.5, rate=84.7005)
[local] 3 -15 34.4401 (best c=512.0, g=0.5, rate=84.7005)
[local] 15 -15 52.9297 (best c=512.0, g=0.5, rate=84.7005)
[local] -5 -7 36.9792 (best c=512.0, g=0.5, rate=84.7005)
[local] -5 -1 52.8646 (best c=512.0, g=0.5, rate=84.7005)
[local] -5 -13 31.3151 (best c=512.0, g=0.5, rate=84.7005)
[local] -5 1 49.8698 (best c=512.0, g=0.5, rate=84.7005)
[local] -5 -11 35.0911 (best c=512.0, g=0.5, rate=84.7005)
[local] -5 -5 40.6901 (best c=512.0, g=0.5, rate=84.7005)
[local] -5 -15 30.4688 (best c=512.0, g=0.5, rate=84.7005)
[local] 5 3 81.3802 (best c=512.0, g=0.5, rate=84.7005)
[local] -1 3 75.3255 (best c=512.0, g=0.5, rate=84.7005)
[local] 11 3 81.3802 (best c=512.0, g=0.5, rate=84.7005)
[local] -3 3 54.1667 (best c=512.0, g=0.5, rate=84.7005)
[local] 9 3 81.3802 (best c=512.0, g=0.5, rate=84.7005)
[local] 3 3 80.9245 (best c=512.0, g=0.5, rate=84.7005)
[local] 15 3 81.3802 (best c=512.0, g=0.5, rate=84.7005)
[local] -5 3 50.651 (best c=512.0, g=0.5, rate=84.7005)
[local] 7 -7 71.8099 (best c=512.0, g=0.5, rate=84.7005)
[local] 7 -1 84.5052 (best c=512.0, g=0.5, rate=84.7005)
[local] 7 -13 42.5781 (best c=512.0, g=0.5, rate=84.7005)
[local] 7 1 82.8776 (best c=512.0, g=0.5, rate=84.7005)
[local] 7 -11 51.1068 (best c=512.0, g=0.5, rate=84.7005)
[local] 7 -5 76.5625 (best c=512.0, g=0.5, rate=84.7005)
[local] 7 -15 38.0859 (best c=512.0, g=0.5, rate=84.7005)
[local] 7 3 81.3802 (best c=512.0, g=0.5, rate=84.7005)
[local] 5 -9 55.7292 (best c=512.0, g=0.5, rate=84.7005)
[local] -1 -9 39.3229 (best c=512.0, g=0.5, rate=84.7005)
[local] 11 -9 70.5729 (best c=512.0, g=0.5, rate=84.7005)
[local] -3 -9 36.3281 (best c=512.0, g=0.5, rate=84.7005)
[local] 9 -9 66.276 (best c=512.0, g=0.5, rate=84.7005)
[local] 3 -9 49.9349 (best c=512.0, g=0.5, rate=84.7005)
[local] 15 -9 75.7161 (best c=512.0, g=0.5, rate=84.7005)
[local] -5 -9 35.026 (best c=512.0, g=0.5, rate=84.7005)
[local] 7 -9 61.0677 (best c=512.0, g=0.5, rate=84.7005)
[local] 1 -7 51.6927 (best c=512.0, g=0.5, rate=84.7005)
[local] 1 -1 76.6927 (best c=512.0, g=0.5, rate=84.7005)
[local] 1 -13 35.1562 (best c=512.0, g=0.5, rate=84.7005)
[local] 1 1 77.2135 (best c=512.0, g=0.5, rate=84.7005)
[local] 1 -11 37.3047 (best c=512.0, g=0.5, rate=84.7005)
[local] 1 -5 62.5651 (best c=512.0, g=0.5, rate=84.7005)
[local] 1 -15 30.4688 (best c=512.0, g=0.5, rate=84.7005)
[local] 1 3 79.4271 (best c=512.0, g=0.5, rate=84.7005)
[local] 1 -9 44.5964 (best c=512.0, g=0.5, rate=84.7005)
[local] 5 -3 78.9062 (best c=512.0, g=0.5, rate=84.7005)
[local] -1 -3 64.6484 (best c=512.0, g=0.5, rate=84.7005)
[local] 11 -3 85.2214 (best c=2048.0, g=0.125, rate=85.2214)
[local] -3 -3 50.0 (best c=2048.0, g=0.125, rate=85.2214)
[local] 9 -3 85.1562 (best c=2048.0, g=0.125, rate=85.2214)
[local] 3 -3 76.888 (best c=2048.0, g=0.125, rate=85.2214)
[local] 15 -3 84.9609 (best c=2048.0, g=0.125, rate=85.2214)
[local] -5 -3 43.099 (best c=2048.0, g=0.125, rate=85.2214)
[local] 7 -3 82.8125 (best c=2048.0, g=0.125, rate=85.2214)
[local] 1 -3 73.3724 (best c=2048.0, g=0.125, rate=85.2214)
[local] 13 -7 78.5156 (best c=2048.0, g=0.125, rate=85.2214)
[local] 13 -1 84.6354 (best c=2048.0, g=0.125, rate=85.2214)
[local] 13 -13 57.9427 (best c=2048.0, g=0.125, rate=85.2214)
[local] 13 1 82.8125 (best c=2048.0, g=0.125, rate=85.2214)
[local] 13 -11 66.5365 (best c=2048.0, g=0.125, rate=85.2214)
[local] 13 -5 84.5703 (best c=2048.0, g=0.125, rate=85.2214)
[local] 13 -15 48.6979 (best c=2048.0, g=0.125, rate=85.2214)
[local] 13 3 81.3802 (best c=2048.0, g=0.125, rate=85.2214)
[local] 13 -9 72.4609 (best c=2048.0, g=0.125, rate=85.2214)
[local] 13 -3 85.026 (best c=2048.0, g=0.125, rate=85.2214)
2048.0 0.125 85.2214
